X,Z
-33.91674745777514,-37.042336238927064
-34.47436475653991,-37.766449177329
-35.055423117248544,-38.4199331414045
-35.62675664524461,-39.12216853441544
-36.19952030589959,-39.82207726889745
-36.779018935580076,-40.541330864989895
-37.36624260209911,-41.25386072980022
-37.92779329340984,-41.96494030422264
-38.5113754158864,-42.655252602465055
-39.12384932819536,-43.33074777363914
-39.69518753434341,-44.03917674076001
-40.33132988030803,-44.684213206627376
-40.8660360241654,-45.43663463573686
-41.35754452980116,-46.23545187660071
-41.9451182432026,-46.94374075146958
-42.521922185852524,-47.65183876560075
-43.06133802738573,-48.39282041672201
-43.563297472162006,-49.14495234214242
-44.17414938843646,-49.78865214224236
-44.7118280952546,-50.588800024891285
-45.24146627296857,-51.31234515656339
-45.68315454009886,-52.00528120828708
-46.24260410710929,-52.730481529315924
-46.81288822024999,-53.44582993974883
-47.27458631811688,-54.27816071357313
-47.77968020932813,-55.01375058078419
-48.31871238799706,-55.75697528982274
-48.819418168797334,-56.52367819525687
-49.23981856735341,-57.2871373070925
-49.810707791429955,-57.997279358240554
-50.413903009847,-58.691035644434024
-51.032647717411514,-59.40290662450364
-51.665259013314746,-60.03432652776127
-52.26537798076998,-60.735916566391964
-52.81793479574189,-61.459179180443385
-53.3778285722312,-62.166394445321984
-53.92779643637008,-62.87254870497849
-54.495796585485834,-63.59078790200948
-55.096206891821986,-64.24819627871865
-55.74142815511597,-64.89255075979568
-56.36295746662853,-65.54052442652493
-57.022695887973555,-66.18555886201477
-57.67911766995248,-66.82165076733997
-58.222085267466746,-67.55124763393387
-58.80165324225738,-68.25182704339454
-59.31682631813116,-68.98157919206066
-59.95548889430891,-69.6371878088715
-60.69311405742508,-70.1899306398452
-61.4321032132912,-70.748013175222
-61.80138692000101,-71.5338069143058
-62.34040585110197,-72.2737280080536
-62.88769872461386,-72.98152973627933
-63.43782595569299,-73.65727933247322
-63.93214455012958,-74.40629568294824
-64.19611296577766,-75.10020577368999
-64.83778487223955,-75.75383342806549
-65.40033860735142,-76.42493222414124
-66.0529643164678,-77.0744467444743
-66.61928743254072,-77.78205986530055
-67.25198034851744,-78.4422686542305
-67.86909517527897,-79.11793092513348
-68.4878192695524,-79.79388917025636
-69.14914763234923,-80.46258210095411
-69.75151350987319,-81.1604090885431
-69.56406120116053,-81.83830083356881
-70.14818905013325,-82.53308161455274
-70.82368881886246,-83.19935588756768
-71.35030766871692,-83.92899357384978
-71.94147902889264,-84.61875725457303
-72.61574864804422,-85.27156370943688
-73.159365501643,-85.99856148204736
-73.77552091622374,-86.67279040544292
-74.24513585613091,-87.39610689243241
-74.71081341583852,-88.13659563449754
-75.22067812658972,-88.86702178991709
-75.93803567735506,-89.49963608722823
-76.6091570065446,-90.14402986183201
-76.9412603400148,-90.98092939450201
-77.54259419741716,-91.70188413772895
-78.16750385112049,-92.38598482114661
-78.75464900114284,-93.0923890663884
-79.16655153090332,-93.85693606604691
-79.70176219150137,-94.57057385212062
-80.28818799514593,-95.27354410105181
-80.78736145930884,-96.02749661387055
-81.3105554251453,-96.75088782163023
-81.87068619407773,-97.46581259009716
-82.42681216201144,-98.16539627081629
-82.94422896674726,-98.91305519261797
-83.48808132441518,-99.61247287727261
-83.98049734331958,-100.34829040596442
-84.39531711425576,-101.08119179095237
-84.91037685586278,-101.81413773571566
-85.50086990063767,-102.4969530460258
-86.12634332062073,-103.18134712436142
-86.57100299633848,-103.94630354885136
-87.01673062488607,-104.72566976969249
-87.60756905450145,-105.4031022958394
-88.20224575535467,-106.10086845906517
-88.77690862961282,-106.80303547263614
-89.35546274493208,-107.49504104358412
-89.86718159602454,-108.22810120666969
-90.39254592774132,-108.94419436015743
-90.84644896467769,-109.73204831190078
-91.47447827832589,-110.40928579295678
-91.99388092855207,-111.13778041909104
-92.49123125520437,-111.89780951474569
-92.94024936948686,-112.66157021794005
-93.58935375049599,-113.30038245851478
-94.11853550132383,-114.03372075745638
-94.79647241555668,-114.66448232380712
-95.37232411792192,-115.39391720137525
-94.90298360615787,-116.26465620368391
-95.41152681996925,-117.00106369778835
-95.79132361217097,-117.81929966709805
-95.00405345476378,-118.42365146842093
-95.48105183781068,-119.20504072227764
-95.80071432964418,-120.04249269525144
-96.15634978681427,-120.88015437264261
-96.62871071626722,-121.65719977357617
